,,,,,,,,,,,,"Survey","Participant","Question 1","{{Q://Q2/ChoiceTextEntryValue}}.1","{{Q://Q2/ChoiceTextEntryValue}}.2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","Question 12","{{Q://Q13/ChoiceTextEntryValue}}","Question 14","Question 15","Question 16","{{Q://Q17/ChoiceTextEntryValue}}.1","{{Q://Q17/ChoiceTextEntryValue}}.2","{{Q://Q17/ChoiceTextEntryValue}}.3","{{Q://Q17/ChoiceTextEntryValue}}.4","{{Q://Q17/ChoiceTextEntryValue}}.5","{{Q://Q17/ChoiceTextEntryValue}}.6","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
"01/08/2025 06:19PM","01/08/2025 06:23PM","01/08/2025 05:00PM - 01/08/2025 11:00PM",285.36,"8","1","Finished","67489ff0cc103e20a98584c7","0.0","0.0","no","-","192.168.1.197","Participant 12","7","No","Yes","6","1","1","1","6","1","3","5","1","6","אין","1","1","1","No","No","No","No","No","דוד סיפר על עניין מסוים בבית הספר והאח הקטן שלו (בן 7) שאל שאלות ודוד התלם מהן ולא הסביר לא בשפה מותאמת לגילו. ביקשתי לעצור ולנסות להסביר באופן יותר ברור לאח, אבל דוד היה חסר סבלנות ובחר לא לעשות זאת","1","1","1","6","1","1","1","1"
"01/07/2025 07:05PM","01/07/2025 07:07PM","01/07/2025 05:00PM - 01/07/2025 11:00PM",133.801,"2","1","Finished","677c148f92b3eb66e2131c3d",,,"no","-","10.100.102.6","Participant 14","5","No","Yes","5","4","2","6","6","2","1","7","4","5","אחיות שלה","5","5","3","No","No","No","No","No","הייתה עצבנית","4","1","4","5","4","3","3","3"
"01/08/2025 08:25PM","01/08/2025 08:27PM","01/08/2025 05:00PM - 01/08/2025 11:00PM",140.376,"3","1","Finished","677c148f92b3eb66e2131c3d",,,"no","-","10.100.102.6","Participant 14","5","No","Yes","5","4","3","6","5","4","4","6","2","5","עייפות","3","3","3","No","No","No","No","Yes","","4","3","3","5","3","4","3","3"
"01/09/2025 05:51PM","01/09/2025 05:53PM","01/09/2025 05:00PM - 01/09/2025 11:00PM",148.832,"4","1","Finished","677c148f92b3eb66e2131c3d",,,"no","-","10.100.102.6","Participant 14","5","No","Yes","4","5","2","5","5","5","4","3","4","5","עייפות, בגדים","5","5","4","No","No","No","No","Yes","","5","5","4","4","5","4","4","4"
"01/10/2025 09:30PM","01/10/2025 09:32PM","01/10/2025 05:00PM - 01/10/2025 11:00PM",134.629,"5","1","Finished","677c148f92b3eb66e2131c3d",,,"no","-","10.100.102.6","Participant 14","5","No","Yes","4","3","3","2","4","2","3","3","2","5","אין","4","2","2","No","No","No","No","Yes","","3","6","4","5","4","4","3","4"
"01/11/2025 07:20PM","01/11/2025 07:22PM","01/11/2025 05:00PM - 01/11/2025 11:00PM",146.982,"6","1","Finished","677c148f92b3eb66e2131c3d",,,"no","-","10.100.102.6","Participant 14","5","No","Yes","5","4","4","4","5","5","4","4","3","5","המשחק של הניסוי","5","5","3","No","No","No","No","Yes","","3","4","4","5","3","3","3","3"
"01/12/2025 07:25PM","01/12/2025 07:28PM","01/12/2025 05:00PM - 01/12/2025 11:00PM",123.947,"7","1","Finished","677c148f92b3eb66e2131c3d",,,"no","-","10.100.102.6","Participant 14","5","No","Yes","4","4","4","5","5","3","3","4","3","5","אין","4","5","3","No","No","No","No","Yes","","3","5","3","5","3","3","3","4"
"01/13/2025 08:32PM","01/13/2025 08:33PM","01/13/2025 05:00PM - 01/13/2025 11:00PM",94.942,"8","1","Finished","677c148f92b3eb66e2131c3d",,,"no","-","10.100.102.6","Participant 14","3","No","Yes","4","4","4","6","4","3","3","4","4","4","עייפות","4","4","4","No","No","No","No","Yes","","3","4","3","4","3","4","3","4"
"01/07/2025 05:00PM","01/07/2025 05:02PM","01/07/2025 05:00PM - 01/07/2025 11:00PM",107.619,"2","1","Finished","677bd90f92b3eb66e2129f0f","0.0","0.0","no","-","fd58:1210:8b06:3d4a:1498:cef3:9a0f:7c08","Participant 15","1","No","Yes","5","1","1","7","5","5","5","7","1","7","להכניס חוט למחט","1","1","1","No","No","No","No","Yes","","2","3","1","7","1","1","1","1"
"01/08/2025 09:04PM","01/08/2025 09:05PM","01/08/2025 05:00PM - 01/08/2025 11:00PM",110.924,"3","1","Finished","677bd90f92b3eb66e2129f0f","0.0","0.0","no","-","10.100.102.167","Participant 15","1","No","Yes","1","1","1","2","7","7","4","7","1","7","כלום","1","1","1","No","No","No","No","Yes","","2","1","1","6","5","2","1","1"
"01/09/2025 07:24PM","01/09/2025 07:26PM","01/09/2025 05:00PM - 01/09/2025 11:00PM",123.944,"4","1","Finished","677bd90f92b3eb66e2129f0f","0.0","0.0","no","-","fd58:1210:8b06:3d4a:1498:cef3:9a0f:7c08","Participant 15","1","No","Yes","5","4","3","7","7","2","6","7","5","7","כעסתי עליו ","1","1","5","No","No","No","No","Yes","","1","1","1","5","1","1","1","1"
"01/10/2025 05:00PM","01/10/2025 05:02PM","01/10/2025 05:00PM - 01/10/2025 11:00PM",114.308,"5","1","Finished","677bd90f92b3eb66e2129f0f","0.0","0.0","no","-","10.100.102.167","Participant 15","1","No","Yes","7","3","3","1","3","1","7","7","5","7","כעס שלא הקשתי לו ללבוש מכנס קצר לבית ספר","2","2","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","1"
"01/11/2025 07:00PM","01/11/2025 07:02PM","01/11/2025 05:00PM - 01/11/2025 11:00PM",102.062,"6","1","Finished","677bd90f92b3eb66e2129f0f","0.0","0.0","no","-","10.100.102.167","Participant 15","1","No","Yes","6","1","1","5","5","6","3","4","1","7","כלום","1","1","1","No","No","No","No","Yes","","1","2","1","7","1","1","1","1"
"01/12/2025 05:03PM","01/12/2025 05:05PM","01/12/2025 05:00PM - 01/12/2025 11:00PM",97.471,"7","1","Finished","677bd90f92b3eb66e2129f0f","0.0","0.0","no","-","10.100.102.167","Participant 15","1","No","Yes","6","1","1","6","6","5","3","7","1","7","כלום","1","1","1","No","No","No","No","Yes","","1","2","1","7","1","1","1","1"
"01/13/2025 10:09PM","01/13/2025 10:11PM","01/13/2025 05:00PM - 01/13/2025 11:00PM",105.875,"8","1","Finished","677bd90f92b3eb66e2129f0f","0.0","0.0","no","-","10.100.102.167","Participant 15","1","No","Yes","7","1","1","5","7","7","7","7","1","7","כלום","1","1","1","No","No","No","No","Yes","","2","2","1","7","1","1","1","1"
"01/13/2025 06:07PM","01/13/2025 06:11PM","01/13/2025 05:00PM - 01/13/2025 11:00PM",205.457,"2","1","Finished","6783ec819132493f1e0a1c65",,,"no","-","10.22.203.107","Participant 16","5","No","Yes","6","2","1","6","3","3","5","7","1","6","שיעורים","1","2","2","No","No","No","No","Yes","","3","2","1","6","2","2","1","2"
"01/14/2025 07:06PM","01/14/2025 07:08PM","01/14/2025 05:00PM - 01/14/2025 11:00PM",123.206,"3","1","Finished","6783ec819132493f1e0a1c65",,,"no","-","10.22.203.107","Participant 16","5","No","Yes","3","5","6","5","3","7","5","5","6","6","מידה מתאימה בחנות","3","2","2","No","No","No","No","Yes","","3","5","2","7","1","5","2","2"
"01/15/2025 05:46PM","01/15/2025 05:49PM","01/15/2025 05:00PM - 01/15/2025 11:00PM",167.045,"4","1","Finished","6783ec819132493f1e0a1c65",,,"no","-","192.168.1.192","Participant 16","5","No","Yes","6","5","3","3","5","3","6","6","2","6","לא היה","2","2","1","No","No","No","No","Yes","","5","3","2","6","2","5","1","2"
"01/16/2025 07:45PM","01/16/2025 07:47PM","01/16/2025 05:00PM - 01/16/2025 11:00PM",123.283,"5","1","Finished","6783ec819132493f1e0a1c65",,,"no","-","10.200.137.246","Participant 16","2","No","Yes","5","3","2","5","3","5","6","6","3","6","לחכות לאוטובוס","2","2","2","No","No","No","No","Yes","","5","3","2","6","2","6","2","2"
"01/17/2025 06:41PM","01/17/2025 06:47PM","01/17/2025 05:00PM - 01/17/2025 11:00PM",374.044,"6","1","Finished","6783ec819132493f1e0a1c65",,,"no","-","10.151.184.151","Participant 16","2","No","Yes","3","5","3","5","3","3","5","5","5","6","לא שידוע לי...","2","2","2","No","No","No","No","Yes","","5","6","2","6","2","6","1","2"
"01/18/2025 07:56PM","01/18/2025 07:59PM","01/18/2025 05:00PM - 01/18/2025 11:00PM",175.757,"7","1","Finished","6783ec819132493f1e0a1c65",,,"no","-","10.200.184.136","Participant 16","3","No","Yes","3","5","6","5","3","6","6","6","6","6","לא מצאה מוצר שרצתה בחנות, ללכת לבקר את המשפחה","6","6","5","Yes","No","No","No","No","","6","6","2","5","6","6","3","3"
"01/19/2025 05:41PM","01/19/2025 05:43PM","01/19/2025 05:00PM - 01/19/2025 11:00PM",131.243,"8","1","Finished","6783ec819132493f1e0a1c65",,,"no","-","10.200.184.136","Participant 16","3","No","Yes","3","5","5","5","3","3","5","5","5","6","לא קנו לה נעליים שרצתה","5","5","2","Yes","No","No","No","No","","5","5","2","6","5","6","2","2"
"01/16/2025 06:41PM","01/16/2025 06:46PM","01/16/2025 05:00PM - 01/16/2025 11:00PM",317.786,"2","1","Finished","6787c21313aa347c7f08e221",,,"no","-","192.168.1.218","Participant 17","6","No","Yes","6","5","2","7","7","4","6","7","2","5","נהג שצפע עליה","4","5","2","No","No","No","No","Yes","","4","2","2","6","2","2","2","3"
"01/17/2025 09:31PM","01/17/2025 09:37PM","01/17/2025 05:00PM - 01/17/2025 11:00PM",369.346,"3","1","Finished","6787c21313aa347c7f08e221",,,"no","-","192.168.1.218","Participant 17","5","Yes","No","5","7","7","5","6","6","7","7","6","6","אחות שלה עצבנה אותה","6","5","2","Yes","No","No","No","No","","5","6","2","6","1","5","1","4"
"01/18/2025 06:06PM","01/18/2025 06:10PM","01/18/2025 05:00PM - 01/18/2025 11:00PM",222.113,"4","1","Finished","6787c21313aa347c7f08e221",,,"no","-","192.168.1.218","Participant 17","4","No","Yes","6","5","2","6","7","7","7","7","2","6","כלום","3","2","2","No","No","No","No","Yes","","5","4","1","7","2","1","2","2"
"01/19/2025 06:39PM","01/19/2025 06:43PM","01/19/2025 05:00PM - 01/19/2025 11:00PM",209.421,"5","1","Finished","6787c21313aa347c7f08e221",,,"no","-","192.168.1.218","Participant 17","2","No","Yes","4","2","1","3","4","2","7","7","2","6","אחות שלה","4","2","3","No","No","No","No","Yes","","4","2","2","6","2","2","2","2"
"01/20/2025 05:03PM","01/20/2025 05:08PM","01/20/2025 05:00PM - 01/20/2025 11:00PM",286.247,"6","1","Finished","6787c21313aa347c7f08e221",,,"no","-","192.168.1.218","Participant 17","3","No","Yes","5","2","2","3","5","6","7","7","2","6","כלום","2","2","2","No","No","No","No","Yes","","5","2","2","6","2","2","2","2"
"01/21/2025 05:59PM","01/21/2025 06:02PM","01/21/2025 05:00PM - 01/21/2025 11:00PM",190.13,"7","1","Finished","6787c21313aa347c7f08e221",,,"no","-","192.168.1.218","Participant 17","5","No","Yes","6","2","1","2","3","3","7","7","2","6","אחות שלה","2","2","2","No","No","No","No","Yes","","2","2","2","7","2","2","2","2"
"01/22/2025 05:28PM","01/22/2025 05:32PM","01/22/2025 05:00PM - 01/22/2025 11:00PM",242.154,"8","1","Finished","6787c21313aa347c7f08e221",,,"no","-","192.168.1.218","Participant 17","4","No","Yes","5","5","5","6","6","5","7","7","5","6","אחות שלה לא חוזרת הביתה בזמן לעשות את המשחק לפני שהיא צריכה לצאת ","6","4","4","Yes","No","No","No","No","","5","5","2","6","2","3","2","2"
"01/20/2025 05:05PM","01/20/2025 05:08PM","01/20/2025 05:00PM - 01/20/2025 11:00PM",154.421,"2","1","Finished","678d1b1e58adab1eb935e4fb",,,"no","-","10.86.11.17","Participant 18","4","No","Yes","7","2","1","7","3","1","7","7","1","7","אף דבר","1","1","1","No","No","No","No","Yes","","1","1","4","7","1","1","2","2"
"01/21/2025 07:19PM","01/21/2025 07:22PM","01/21/2025 05:00PM - 01/21/2025 11:00PM",191.927,"3","1","Finished","678d1b1e58adab1eb935e4fb",,,"no","-","10.86.11.17","Participant 18","7","No","Yes","7","1","1","1","7","1","5","7","1","7","לימוד למבחן","5","1","2","No","No","No","No","Yes","","1","1","2","6","5","1","6","5"
"01/22/2025 09:58PM","01/22/2025 10:00PM","01/22/2025 05:00PM - 01/22/2025 11:00PM",136.114,"4","1","Finished","678d1b1e58adab1eb935e4fb",,,"no","-","192.168.1.19","Participant 18","7","No","Yes","7","1","1","2","7","1","7","7","1","7","אין","1","1","2","No","No","No","No","Yes","","1","1","6","7","2","1","1","1"
"01/23/2025 10:21PM","01/23/2025 10:24PM","01/23/2025 05:00PM - 01/23/2025 11:00PM",178.348,"5","1","Finished","678d1b1e58adab1eb935e4fb",,,"no","-","192.168.1.19","Participant 18","7","No","Yes","7","1","1","6","1","1","7","7","1","7","אין","1","1","1","No","No","No","No","Yes","","1","1","1","6","1","1","1","1"
"01/24/2025 07:17PM","01/24/2025 07:20PM","01/24/2025 05:00PM - 01/24/2025 11:00PM",128.266,"6","1","Finished","678d1b1e58adab1eb935e4fb",,,"no","-","192.168.1.19","Participant 18","7","No","Yes","7","1","1","6","7","1","7","7","1","7","אין","1","2","1","No","No","No","No","Yes","","1","1","1","7","2","2","1","1"
"01/25/2025 05:18PM","01/25/2025 05:20PM","01/25/2025 05:00PM - 01/25/2025 11:00PM",151.29,"7","1","Finished","678d1b1e58adab1eb935e4fb",,,"no","-","192.168.1.19","Participant 18","7","No","Yes","7","1","1","3","7","5","7","7","1","7","אין","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","1"
"01/26/2025 07:00PM","01/26/2025 07:03PM","01/26/2025 05:00PM - 01/26/2025 11:00PM",156.739,"8","1","Finished","678d1b1e58adab1eb935e4fb",,,"no","-","192.168.1.19","Participant 18","7","No","Yes","7","1","1","2","7","1","5","7","1","7","אי הצלחת משימה בשיעור","2","2","1","No","No","No","No","Yes","","1","1","2","7","1","4","1","1"
"01/21/2025 07:17PM","01/21/2025 07:20PM","01/21/2025 05:00PM - 01/21/2025 11:00PM",176.991,"2","1","Finished","678d358f58adab1eb9371107",,,"no","-","192.168.1.70","Participant 19","7","No","Yes","7","1","1","1","7","1","7","7","1","7","0","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","2"
"01/22/2025 05:45PM","01/22/2025 05:48PM","01/22/2025 05:00PM - 01/22/2025 11:00PM",189.295,"3","1","Finished","678d358f58adab1eb9371107",,,"no","-","10.103.228.216","Participant 19","6","No","Yes","7","1","1","1","7","1","7","6","1","7","0","1","1","2","No","No","No","No","Yes","","1","1","2","6","2","1","2","2"
"01/23/2025 05:56PM","01/23/2025 06:01PM","01/23/2025 05:00PM - 01/23/2025 11:00PM",276.017,"4","1","Finished","678d358f58adab1eb9371107",,,"no","-","192.168.1.70","Participant 19","6","No","Yes","7","1","1","1","7","1","7","7","1","7","תשובה של מורה","1","2","2","No","No","No","No","Yes","","1","1","5","3","5","2","2","5"
"01/24/2025 05:13PM","01/24/2025 05:16PM","01/24/2025 05:00PM - 01/24/2025 11:00PM",172.359,"5","1","Finished","678d358f58adab1eb9371107",,,"no","-","192.168.1.70","Participant 19","7","No","Yes","7","1","1","1","7","1","7","7","1","7","0","1","1","1","No","No","No","No","Yes","","1","1","2","1","1","2","1","1"
"01/25/2025 06:05PM","01/25/2025 06:08PM","01/25/2025 05:00PM - 01/25/2025 11:00PM",182.545,"6","1","Finished","678d358f58adab1eb9371107",,,"no","-","192.168.1.70","Participant 19","6","No","Yes","7","1","1","1","6","1","6","2","1","7","0","1","1","1","No","No","No","No","Yes","","1","2","1","7","1","1","1","1"
"01/26/2025 07:01PM","01/26/2025 07:03PM","01/26/2025 05:00PM - 01/26/2025 11:00PM",136.898,"7","1","Finished","678d358f58adab1eb9371107",,,"no","-","192.168.1.70","Participant 19","7","No","Yes","7","1","1","1","6","1","6","7","1","7","0","1","1","1","No","No","No","No","Yes","","1","1","1","6","2","1","1","2"
"01/27/2025 05:26PM","01/27/2025 05:29PM","01/27/2025 05:00PM - 01/27/2025 11:00PM",131.725,"8","1","Finished","678d358f58adab1eb9371107",,,"no","-","192.168.252.8","Participant 19","7","No","Yes","7","1","1","1","6","1","7","6","1","7","0","1","1","1","No","No","No","No","Yes","","1","1","1","6","1","1","1","2"
"01/21/2025 09:30PM","01/21/2025 09:33PM","01/21/2025 05:00PM - 01/21/2025 11:00PM",147.391,"2","1","Finished","678d3c0958adab1eb937477e","0.0","0.0","no","-","192.168.7.13","Participant 20","5","No","Yes","4","3","3","5","5","5","4","4","4","5","המורה לא שחררה אותם מוקדם בשיעור","2","3","1","Yes","No","No","No","No","","4","3","2","5","2","3","2","2"
"01/22/2025 10:03PM","01/22/2025 10:06PM","01/22/2025 05:00PM - 01/22/2025 11:00PM",198.12,"3","1","Finished","678d3c0958adab1eb937477e","0.0","0.0","no","-","2a05:bb80:34:e591:99a1:b12b:ec14:fee7","Participant 20","4","No","Yes","4","3","2","2","4","3","3","4","2","5","הוא קיבל עבודה גדולה באנגלית ","1","3","1","No","No","No","No","Yes","","2","2","2","5","2","2","2","2"
"01/23/2025 08:14PM","01/23/2025 08:16PM","01/23/2025 05:00PM - 01/23/2025 11:00PM",112.198,"4","1","Finished","678d3c0958adab1eb937477e","0.0","0.0","no","-","2a05:bb80:34:e591:11f2:6a32:7dc8:2eab","Participant 20","2","No","Yes","5","2","1","4","5","3","4","4","2","5","האוטובוס איחר ","1","3","2","No","No","No","No","Yes","","3","2","2","2","2","2","2","2"
"01/24/2025 09:10PM","01/24/2025 09:11PM","01/24/2025 05:00PM - 01/24/2025 11:00PM",95.631,"5","1","Finished","678d3c0958adab1eb937477e","0.0","0.0","no","-","192.168.7.6","Participant 20","3","No","Yes","5","1","1","4","5","3","5","2","1","5","אח שלו הציק לו","3","2","1","No","No","No","No","Yes","","2","1","2","5","2","2","2","3"
"01/25/2025 09:29PM","01/25/2025 09:31PM","01/25/2025 05:00PM - 01/25/2025 11:00PM",103.936,"6","1","Finished","678d3c0958adab1eb937477e","0.0","0.0","no","-","192.168.7.6","Participant 20","3","No","Yes","5","2","1","3","5","2","3","3","2","5","שהאשימו אותו במשהו שלא עשה ","2","3","2","No","No","No","No","Yes","","2","2","2","5","2","2","2","2"
"01/26/2025 09:49PM","01/26/2025 09:51PM","01/26/2025 05:00PM - 01/26/2025 11:00PM",135.851,"7","1","Finished","678d3c0958adab1eb937477e","0.0","0.0","no","-","2a05:bb80:3c:7701:3065:27a:c3de:37e0","Participant 20","3","No","Yes","5","2","2","4","5","5","4","4","2","5","האינטרנט בבית לא עבד","3","3","2","No","No","No","No","Yes","","2","1","2","5","2","2","2","2"
"01/27/2025 09:00PM","01/27/2025 09:02PM","01/27/2025 05:00PM - 01/27/2025 11:00PM",98.661,"8","1","Finished","678d3c0958adab1eb937477e","0.0","0.0","no","-","100.84.131.40","Participant 20","3","No","Yes","5","1","2","3","4","2","3","4","3","5","אח שלו הפריע לו לשחק בסוני ","2","4","2","No","No","No","No","Yes","","2","2","2","5","3","2","2","2"
"01/21/2025 05:33PM","01/21/2025 05:36PM","01/21/2025 05:00PM - 01/21/2025 11:00PM",171.055,"2","1","Finished","678cacb058adab1eb9339418",,,"no","-","10.97.98.21","Participant 21","3","No","Yes","6","1","1","7","4","5","3","3","2","4","כשהערתי אותה בבוקר מוקדם לאימון(מבינה אותה..)","2","2","1","Yes","No","No","No","No","","2","1","2","6","2","2","2","2"
"01/22/2025 10:39PM","01/22/2025 10:42PM","01/22/2025 05:00PM - 01/22/2025 11:00PM",141.857,"3","1","Finished","678cacb058adab1eb9339418",,,"no","-","10.139.91.223","Participant 21","3","No","Yes","6","2","1","5","5","3","2","3","2","4","לא מצאה בקבוק","2","5","2","Yes","No","No","No","No","","2","1","1","6","2","1","1","2"
"01/23/2025 05:46PM","01/23/2025 05:49PM","01/23/2025 05:00PM - 01/23/2025 11:00PM",186.376,"4","1","Finished","678cacb058adab1eb9339418",,,"no","-","10.0.0.23","Participant 21","2","No","Yes","6","1","1","5","5","2","2","2","3","4","לקום בבוקר לבית ספר","2","3","1","Yes","No","No","No","No","דיברה לא יפה. חזרה עייפה מבית ספר ולא היה כוח לדיבןרים באוטו","1","3","2","6","2","1","1","1"
"01/24/2025 06:14PM","01/24/2025 06:16PM","01/24/2025 05:00PM - 01/24/2025 11:00PM",159.542,"5","1","Finished","678cacb058adab1eb9339418",,,"no","-","10.0.0.23","Participant 21","2","No","Yes","6","1","2","6","3","3","1","1","3","5","לא קנו משו. חזרה עייפה מבית ספר. אחרי שנצ הכל הסתדר","3","3","1","No","No","No","No","No","כעסה שלא קנו מה שרצתה","3","2","3","7","1","1","1","2"
"01/25/2025 06:36PM","01/25/2025 06:38PM","01/25/2025 05:00PM - 01/25/2025 11:00PM",119.965,"6","1","Finished","678cacb058adab1eb9339418",,,"no","-","10.162.243.105","Participant 21","2","No","Yes","5","1","1","2","3","4","1","1","2","5","אוכל בצהריים. חזרה עייפה מאימון. אבל בקטנה","2","1","1","No","No","No","No","Yes","","2","2","1","6","2","2","1","2"
"01/26/2025 09:13PM","01/26/2025 09:15PM","01/26/2025 05:00PM - 01/26/2025 11:00PM",81.727,"7","1","Finished","678cacb058adab1eb9339418",,,"no","-","10.0.0.23","Participant 21","3","No","Yes","6","1","1","5","5","4","2","4","1","5","כלום...(:","2","2","2","No","No","No","No","Yes","","1","2","2","6","2","1","1","2"
"01/27/2025 07:29PM","01/27/2025 07:31PM","01/27/2025 05:00PM - 01/27/2025 11:00PM",105.802,"8","1","Finished","678cacb058adab1eb9339418",,,"no","-","192.168.1.212","Participant 21","5","No","Yes","5","1","1","6","5","2","2","4","1","6","המאמן שיתף אותה מעט במשחק אימון","4","2","3","Yes","No","No","No","No","","3","3","2","6","2","1","1","1"
"01/27/2025 10:33PM","01/27/2025 10:37PM","01/27/2025 05:00PM - 01/27/2025 11:00PM",204.036,"2","1","Finished","67967934fd75d39f735b1f30","0.0","0.0","no","-","2a0d:6fc0:724:3800:3d0f:8cae:8692:e5e4","Participant 22","4","No","Yes","4","1","1","5","3","1","2","4","1","4","לא יודעת ","3","2","1","No","No","No","No","Yes","","2","2","1","5","1","3","1","1"
"01/28/2025 08:48PM","01/28/2025 08:55PM","01/28/2025 05:00PM - 01/28/2025 11:00PM",454.455,"3","1","Finished","67967934fd75d39f735b1f30","0.0","0.0","no","-","2a0d:6fc0:724:3800:4120:464:2ccf:bf7f","Participant 22","4","No","Yes","6","1","1","1","2","1","4","1","1","3","היא חזרה מאוחר מיום עמוס בתיכון אז לא ממש דיברנו עד כה","2","1","1","No","No","No","No","Yes","","2","2","1","6","1","2","1","2"
"01/29/2025 05:02PM","01/29/2025 05:05PM","01/29/2025 05:00PM - 01/29/2025 11:00PM",231.913,"4","1","Finished","67967934fd75d39f735b1f30","0.0","0.0","no","-","2001:40a8:7fd:af1a:7c62:ce6c:ca9c:1443","Participant 22","4","No","Yes","5","2","2","2","2","2","3","3","1","4","ששאלתי אותה את אותה שאלה פעמיים חחח","1","4","2","No","No","No","No","Yes","","4","2","1","6","2","3","2","1"
"01/30/2025 05:15PM","01/30/2025 05:19PM","01/30/2025 05:00PM - 01/30/2025 11:00PM",246.568,"5","1","Finished","67967934fd75d39f735b1f30","0.0","0.0","no","-","192.168.1.198","Participant 22","5","No","Yes","4","2","1","5","5","2","2","5","2","5","שלא היו ד״ר מרטינס שהיא רצתה בחנות ","5","3","2","No","No","No","No","Yes","","2","2","2","5","2","3","2","2"
"01/31/2025 08:16PM","01/31/2025 08:19PM","01/31/2025 05:00PM - 01/31/2025 11:00PM",225.674,"6","1","Finished","67967934fd75d39f735b1f30","0.0","0.0","no","-","2a0d:6fc0:724:3800:f157:8a87:3ccd:64b1","Participant 22","3","No","Yes","4","2","2","3","4","2","5","5","2","5","שטח (אבא שלה) אמר לה שהיא קרעה את הספת חוץ","1","2","2","No","No","No","No","Yes","","4","2","2","4","1","5","2","2"
"01/27/2025 08:26PM","01/27/2025 08:30PM","01/27/2025 05:00PM - 01/27/2025 11:00PM",262.787,"2","1","Finished","6795ecfcfd75d39f73599c22","0.0","0.0","no","-","192.168.68.145","Participant 23","3","No","Yes","5","5","2","5","5","2","4","5","2","5","קיבל סנדוויץ' שהוא לא אוהב (אני מלא)","2","2","1","No","No","No","No","Yes","","2","5","2","5","2","2","2","2"
"01/28/2025 09:25PM","01/28/2025 09:28PM","01/28/2025 05:00PM - 01/28/2025 11:00PM",201.468,"3","1","Finished","6795ecfcfd75d39f73599c22","0.0","0.0","no","-","192.168.68.145","Participant 23","3","No","Yes","5","4","3","3","5","2","2","3","4","5","כאשר אמרתי לו להתכונן לבית ספר","5","2","2","No","Yes","No","No","No","","4","5","2","5","2","2","2","2"
"01/29/2025 09:22PM","01/29/2025 09:26PM","01/29/2025 05:00PM - 01/29/2025 11:00PM",196.576,"4","1","Finished","6795ecfcfd75d39f73599c22","0.0","0.0","no","-","192.168.68.145","Participant 23","2","No","Yes","5","5","3","5","5","5","3","5","2","5","מאחר בהכנות לבית ספר בבוקר","2","3","2","No","No","No","No","Yes","","3","5","3","5","2","3","2","2"
"01/30/2025 09:02PM","01/30/2025 09:04PM","01/30/2025 05:00PM - 01/30/2025 11:00PM",157.242,"5","1","Finished","6795ecfcfd75d39f73599c22","0.0","0.0","no","-","2001:40a8:7cc:3d5b:a036:6e73:32d6:2256","Participant 23","3","No","Yes","6","2","3","5","5","4","3","5","2","5","היה עייף","4","2","2","No","No","No","No","Yes","","4","5","2","5","2","2","2","2"
"01/31/2025 06:23PM","01/31/2025 06:27PM","01/31/2025 05:00PM - 01/31/2025 11:00PM",232.331,"6","1","Finished","6795ecfcfd75d39f73599c22","0.0","0.0","no","-","192.168.68.145","Participant 23","3","No","Yes","3","5","5","5","6","4","3","4","4","5","חיבתי אותו לסדר את החדר שלו","3","2","2","No","No","No","No","Yes","","3","5","2","5","3","3","2","2"
"02/01/2025 07:36PM","02/01/2025 07:38PM","02/01/2025 05:00PM - 02/01/2025 11:00PM",160.083,"7","1","Finished","6795ecfcfd75d39f73599c22","0.0","0.0","no","-","192.168.68.145","Participant 23","2","No","Yes","5","5","3","5","5","6","3","5","3","6","הוא צריך לעבוד על עבודה לבית ספר","2","2","2","No","No","No","No","Yes","","3","5","2","5","2","2","2","2"
"02/02/2025 05:51PM","02/02/2025 05:56PM","02/02/2025 05:00PM - 02/02/2025 11:00PM",249.057,"8","1","Finished","6795ecfcfd75d39f73599c22","0.0","0.0","no","-","2001:40a8:7fd:62d7:cf8:d97b:7342:9077","Participant 23","2","No","Yes","5","2","3","5","5","3","2","5","2","5","לא אוהב את הדגני בוקר","2","2","2","No","No","No","No","Yes","","2","5","2","5","2","2","2","2"
"01/28/2025 07:28PM","01/28/2025 07:36PM","01/28/2025 05:00PM - 01/28/2025 11:00PM",451.977,"2","1","Finished","6797a8a594c0c6f78b5a5fb6",,,"no","-","192.168.1.221","Participant 24","7","No","Yes","7","1","1","1","1","4","3","4","1","7","התעצבן בגלל שהמורה לאנגלית התחלפה בפעם השלישית.","1","1","1","No","No","No","No","Yes","","1","1","1","7","7","2","1","1"
"01/29/2025 06:12PM","01/29/2025 06:16PM","01/29/2025 05:00PM - 01/29/2025 11:00PM",255.814,"3","1","Finished","6797a8a594c0c6f78b5a5fb6",,,"no","-","10.141.184.77","Participant 24","3","No","Yes","7","2","2","7","7","4","2","7","1","7","לא התעצבן","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","1"
